title,region,language,releaseby,crc32,status,notes,patchfile,,,,,,,,,,,,,,,,,
"Addams Family, The","USA, Europe",Brazil,Tradu-GameX,1FA29BBB,Works,,,,,,,,,,,,,,,,,,,
Advanced Military Commander,Japan,English,Nebelwurfer HQ,785B8F9A,Works,,https://www.romhacking.net/translations/564/,,,,,,,,,,,,,,,,,
After Burner II,"USA, Europe",Brazil,,AFDF47C9,Doesn't work,Game locks up after pressing start on Title Screen,,,,,,,,,,,,,,,,,,
After Burner II,"USA, Europe",Russian,,A9F2BE91,Doesn't work,Game locks up after pressing start on Title Screen,,,,,,,,,,,,,,,,,,
After Burner II,"USA, Europe",Russian,Pedro,37D8A12C,Doesn't work,Game locks up after pressing start on Title Screen,,,,,,,,,,,,,,,,,,
After Burner II,"USA, Europe",Brazil,eduardo,B289D07F,Doesn't work,Game locks up after pressing start on Title Screen,,,,,,,,,,,,,,,,,,
After Burner II,"USA, Europe",Brazil,eduardo,946FB035,Doesn't work,Game locks up after pressing start on Title Screen,,,,,,,,,,,,,,,,,,
Bare Knuckle III,Japan,English,Twilight,68917751,Works,,https://www.romhacking.net/translations/1375/,,,,,,,,,,,,,,,,,
Barver Battle Saga: Tai Kong Zhan Shi,China,English,Djinn,,Doesn't work,E3: Please Shutdown,https://www.romhacking.net/translations/1467/,,,,,,,,,,,,,,,,,
Battle Mania Daiginjou,Japan,English,M.I.J.E.T,FAB20C39,Works,,https://www.romhacking.net/translations/1075/,,,,,,,,,,,,,,,,,
Battle Mania Daiginjou,Japan,English,M.I.J.E.T,07BA38F6,Works,,https://www.romhacking.net/translations/1075/,,,,,,,,,,,,,,,,,
Bishoujo Senshi Sailor Moon,Japan,English,Supper,,Works,,https://www.romhacking.net/translations/3544/,,,,,,,,,,,,,,,,,
Desert Strike - Return to the Gulf,"USA, Europe",Russian,NewGame,19F6F1E1,Doesn't work,Crashes after first briefing,,,,,,,,,,,,,,,,,,
Dynamite Headdy,Japan,English,M.I.J.E.T,003E54E5,Works,ROM Region: Force USA (NTSC),https://www.romhacking.net/translations/1113/,,,,,,,,,,,,,,,,,
Gargoyles,USA,Russian,,1EC79817,Doesn't work,Blackscreen after sega logo,,,,,,,,,,,,,,,,,,
Langrisser II,Japan,English,M.I.J.E.T,E8F28522,Works,,,,,,,,,,,,,,,,,,,
Monster World IV,Japan,English,"DeJap Translations,Demiforce",140F6DA7,Works,ROM Region: Force USA (NTSC) to put the game on fullscreen,https://www.romhacking.net/translations/77/,,,,,,,,,,,,,,,,,
Monster World IV,Japan,English,Di Somma Michele,C94A35BF,Works,ROM Region: Force USA (NTSC) to put the game on fullscreen,https://www.romhacking.net/translations/1276/,,,,,,,,,,,,,,,,,
Pulseman,Japan,English,M.I.J.E.T,A8E0DE99,Works,,https://www.romhacking.net/translations/1099/,,,,,,,,,,,,,,,,,
"Punisher, The",Europe,Brazilian,Monkey,B9483D26,Works,,,,,,,,,,,,,,,,,,,
Rent a Hero,Japan,English,NikcDC,5C16D7B6,Works,,https://www.romhacking.net/translations/2309/,,,,,,,,,,,,,,,,,
Rent a Hero,Japan,English,NikcDC,D64109FA,Works,h1C rom,https://www.romhacking.net/translations/2309/,,,,,,,,,,,,,,,,,
Sonic Eraser,Japan,English,Derrick Sobodash,26D9BC32,Works,,https://www.romhacking.net/translations/799/,,,,,,,,,,,,,,,,,
Squirrel King,Unl,Russian,,E8FB9350,Works,,,,,,,,,,,,,,,,,,,
Super Donkey Kong 99,Unl,Russian,,17EEFEF9,Works,,,,,,,,,,,,,,,,,,,
Tougi Ou - King Colossus,Japan,English,MIJET (Family Friendly Edition),F5A08F7E,Works,,,,,,,,,,,,,,,,,,,
Tougi Ou - King Colossus,Japan,English,MIJET,016AFD40,Works,,,,,,,,,,,,,,,,,,,
Twinkle Tale,Japan,English,M.I.J.E.T,0C43B66B,Works,,https://www.romhacking.net/translations/1103/,,,,,,,,,,,,,,,,,
Undead Line,Japan,English,M.I.J.E.T,53B9E72F,Works,,https://www.romhacking.net/translations/1223/,,,,,,,,,,,,,,,,,
Yuu Yuu Hakusho - Makyou Toitsusen,Japan,English,M.I.J.E.T,0F041D2E,Works,,https://www.romhacking.net/translations/1222/,,,,,,,,,,,,,,,,,
